name,ops
bueno,183787
class-transformer-validator-async,32165
class-transformer-validator-sync,39727
computed-types,766971
decoders,235467
io-ts,1215058
jointz,1714373
json-decoder,857925
marshal,13846792
@mojotech/json-type-validation,1502650
myzod,1402471
purify-ts,847174
rulr,835634
runtypes,861261
simple-runtypes,1972179
superstruct,98366
suretype,22917297
toi,497342
ts-interface-checker,2520803
ts-json-validator,22253392
ts-utils,86514
@typeofweb/schema,904641
valita,3606191
yup,26763
zod,481647
