name,ops
bueno,239934
class-transformer-validator-async,48200
class-transformer-validator-sync,58281
computed-types,995449
decoders,280452
io-ts,1359221
jointz,2089624
json-decoder,1087969
marshal,17329991
myzod,1799279
purify-ts,890288
rulr,1052114
runtypes,1035978
simple-runtypes,2254901
superstruct,113080
suretype,20240156
toi,612297
ts-interface-checker,3565156
ts-json-validator,21392553
ts-utils,120205
@typeofweb/schema,1077406
valita,4152826
yup,34797
zod,11180
@mojotech/json-type-validation,1781687
